accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_000012145.1	0	100	0.47	324	o__Rickettsiales (UID3809)	211	0	1344326	84.6958241979789	3	516066	32.5134195206774	1587240	GB_GCA_000012145.1	t	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia felis	type strain of species	LPSN	f	1	1	1485148	1485148	1485148	1	2749	CP000053.1	1485148	1	109	CP000053.1	2749	5077	0	100	CP000053.341684.344444	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia felis URRWXCal2	529080	529080	t	f	f	1485148	1485148	Complete Genome	ASM1214v1	na	PRJNA13884	SAMN02603143	none	none	none	2005-06-07	GCA_000012145.1	none	full	none	none	none	3	0	Rickettsia felis URRWXCal2	none	na	3	none	none	none	none	none	2005/06/07	0	42862	1	URRWXCal2;California 2	CNRS	315456	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia felis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;x__Rickettsieae;g__Rickettsia;x__spotted fever group;s__Rickettsia felis;x__Rickettsia felis URRWXCal2	0	1587240	11	33	none	1587240	0	none	1650	3	1485148	1	none	none	none	none	none	none	1494	CP000053.1	1494	2760	0	100	CP000053.456383.457890	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia felis URRWXCal2	0	20	33	0
GB_GCA_000013845.2	0	100	0	332	o__Clostridiales (UID1375)	124	0	2428396	82.0379664388356	4	835660	28.2309174592107	2960088	RS_GCF_000013285.1	f	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P perfringens	not type material	none	f	1	1	2897393	2897393	2897393	10	2900	CP000312.1	2897393	9	296	CP000312.1-#9	2900	5356	0	100	CP000312.11694.14596	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium perfringens SM101	740022	740022	t	f	f	2897393	2897393	Complete Genome	ASM1384v2	na	PRJNA12521	SAMN02604026	none	none	none	2006-07-26	GCA_000013845.2	none	full	none	none	none	4	0	Clostridium perfringens SM101	2620	na	0	none	none	none	none	none	2006/07/26	0	1502	0	SM101	TIGR	289380	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;x__Clostridium perfringens SM101	0	2921996	11	95	none	2921996	0	none	2659	4	2897393	10	none	none	none	none	none	none	1510	CP000312.1	1509	2787	0	100	CP000312.9992.11504	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;Clostridium perfringens SM101	0	20	95	1
GB_GCA_000016465.1	14	99.55	0.23	767	f__Pasteurellaceae (UID4932)	440	0	1584718	87.4070135513253	1	689682	38.0405279812291	1813033	RS_GCF_001457655.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	not type material	none	f	1	1	1813033	1813033	1813033	6	3109	CP000671.1-#6	1813033	5	109	CP000671.1	3109	5729	0	99.936	CP031684.957063.960195	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus;Haemophilus influenzae	1813033	1813033	t	f	f	1813033	1813033	Complete Genome	ASM1646v1	na	PRJNA16400	SAMN02603084	none	none	none	2007-06-07	GCA_000016465.1	none	full	none	none	none	1	0	Haemophilus influenzae PittEE	none	na	27	none	none	none	none	none	2007/06/07	0	727	6	PittEE	Center for Genomic Sciences, Allegheny-Singer Research Institute	374930	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae;x__Haemophilus influenzae PittEE	0	1813033	11	58	none	1813033	0	none	1777	1	1813033	6	none	none	none	none	none	none	1536	CP000671.1-#4	1536	2837	0	100	CP031684.831797.833346	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus;Haemophilus influenzae	0	20	58	1
GB_GCA_000024525.1	0	100	0.89	454	o__Cytophagales (UID2936)	336	25	7481814	88.1119617375894	9	4258276	50.148941417161	8491258	GB_GCA_000024525.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__Spirosoma linguale	type strain of species	LPSN	t	1	1	8078757	8078757	8078757	4	2807	CP001769.1	none	0	none	none	2807	5184	0	100	CP001769.6728674.6731505	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;Spirosoma linguale DSM 74	943473	943473	f	f	t	8078757	8078757	Complete Genome	ASM2452v1	na	PRJNA28817	SAMN00002598	none	none	none	2010-01-13	GCA_000024525.1	none	full	none	none	none	9	0	Spirosoma linguale DSM 74	6947	na	11	none	none	none	none	none	2010/01/13	0	108	4	DSM 74	US DOE Joint Genome Institute (JGI-PGF)	504472	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__Spirosoma linguale	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__Spirosoma linguale;x__Spirosoma linguale DSM 74	0	8491258	11	49	assembly from type material	8491258	0	none	7129	9	8078757	4	none	none	none	none	none	none	1503	CP001769.1	1495	2761	0	100	CP001769.6726840.6728334	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;Spirosoma linguale DSM 74	0	20	47	0
GB_GCA_000152525.1	0	96.45	0.11	813	o__Pseudomonadales (UID4488)	308	0	5429460	87.2609346977394	124	4087884	66.502120221936	6222097	RS_GCF_001457615.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	not type material	none	f	21	1	242903	6222097	6222097	1	226	CH482383.1	6222097	3	110	CH482383.1	226	411	2.33e-113	99.558	CP033432.3936150.3939058	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	49572	6222097	f	f	t	98844	6222097	Scaffold	ASM15252v1	na	PRJNA16170	SAMN02595210	124	98844	none	2006-01-11	GCA_000152525.1	none	full	none	none	none	0	0	Pseudomonas aeruginosa C3719	none	na	0	1	1	6222097	6222097	6222097	2006/01/11	123	287	0	C3719	Broad Institute	350704	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas aeruginosa;x__Pseudomonas aeruginosa C3719	75099	6222097	11	37	none	6146998	0	AAKV00000000.1	5785	1	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	75099	16	37	1
GB_GCA_000159795.2	0	99.28	0.56	481	c__Gammaproteobacteria (UID4202)	276	0	4198494	78.716085102362	483	3081568	63.312028444687	5333718	RS_GCF_000772705.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas vasicola	not type material	none	f	55	7	100933	712495	712495	1	2876	GG699328.2	712495	1	106	GG699328.2	2876	5306	0	99.965	CP028127.4802140.4805034	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas vasicola pv. vasculorum	10077	55559	t	f	f	26976	205000	Scaffold	ASM15979v2	na	PRJNA31213	SAMN00002876	483	26976	none	2015-09-14	GCA_000159795.2	none	full	none	none	none	0	none	Xanthomonas vasicola pv. vasculorum NCPPB 702	none	na	none	96	7	205000	119365	57279	2015/09/14	387	56459	none	NCPPB702;NCPPB 702	The Sainsbury Laboratory	559736	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas vasicola	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas vasicola;x__Xanthomonas vasicola pv. vasculorum;x__Xanthomonas vasicola pv. vasculorum NCPPB 702	466447	5333718	none	none	none	4867271	0	ACHS00000000.1	4654	96	712495	1	none	none	none	none	none	none	1542	GG699328.2	1542	2843	0	99.935	AKBJ01000014.3632.5178	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas campestris pv. musacearum NCPPB 4394	466447	20	47	0
GB_GCA_000169995.1	0	96.26	0.9	1066	g__Vibrio (UID4874)	378	25	4995414	85.60074835757	154	2595659	44.4788665926511	5835713	GB_GCA_000169995.1	t	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp000169995	not type material	none	f	19	19	432289	432289	17155	10	2886	AAZW01000080.1	8640	8	383	AAZW01000104.1	2886	5330	0	100	AAZW01000080.12788.15689	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;Vibrionales bacterium SWAT-3	37894	37894	t	f	f	80556	80556	Contig	ASM16999v1	na	PRJNA19399	SAMN02436103	154	80556	none	2007-04-26	GCA_000169995.1	none	full	none	none	none	0	0	Vibrionales bacterium SWAT-3	none	na	25	none	none	none	none	none	2007/04/26	0	391574	6	SWAT-3	Moore Foundation	391574	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;x__unclassified Vibrionales;s__Vibrionales bacterium SWAT-3	0	5835713	11	67	none	5835713	0	AAZW00000000.1	5350	154	21016	6	none	none	none	none	none	none	1550	AAZW01000075.1	1550	2791	0	99.161	CP016228.3065655.3067219	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;Vibrio crassostreae 9CS106	0	18	69	0
GB_GCA_000172935.1	0	99.28	0	618	g__Helicobacter (UID3132)	246	0	1431582	91.0807674395523	51	609201	38.7588657896947	1571772	RS_GCF_000277405.1	f	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori_C	not type material	none	f	10	10	130898	130898	4348	1	2882	ABSX01000037.1	none	0	none	none	2878	5315	0	100	ABSX01000037.929.3898	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori 98-10	30819	30819	f	f	t	57544	57544	Contig	ASM17293v1	na	PRJNA30395	SAMN02472069	51	57544	none	2008-12-09	GCA_000172935.1	none	full	none	none	none	0	0	Helicobacter pylori 98-10	none	na	3	none	none	none	none	none	2008/12/09	0	210	1	98-10	Vanderbilt University School of Medicine	544405	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;x__Helicobacter pylori 98-10	0	1571772	11	36	none	1571772	0	ABSX00000000.1	1564	51	62088	1	none	none	none	none	none	none	1502	ABSX01000008.1	1501	2761	0	99.867	AP017348.1157742.1159249	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori	0	20	36	0
GB_GCA_000172955.1	0	98.28	0.1	618	g__Helicobacter (UID3132)	246	0	1490604	90.3823077683343	73	639332	38.7656960468003	1649221	RS_GCF_900478295.1	f	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	not type material	none	f	10	10	226574	226574	4507	1	2882	ABSY01000052.1	none	0	none	none	2882	5323	0	100	CP027021.448669.451557	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori	22592	22592	f	f	t	42941	42941	Contig	ASM17295v1	na	PRJNA30397	SAMN02472068	73	42941	none	2008-12-09	GCA_000172955.1	none	full	none	none	none	0	0	Helicobacter pylori B128	1731	na	3	none	none	none	none	none	2008/12/09	0	210	1	B128	Vanderbilt University School of Medicine	544406	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;x__Helicobacter pylori B128	0	1649221	11	36	none	1649221	0	ABSY00000000.1	1782	73	70725	1	none	none	none	none	none	none	1500	ABSY01000006.1	1501	2765	0	99.933	CP027021.323557.325065	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori	0	20	36	0
GB_GCA_000188315.1	16	99.43	0	472	o__Lactobacillales (UID543)	265	0	1839853	85.9007011271166	2	841029	39.3588887417336	2141837	RS_GCF_900459225.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus dysgalactiae	not type material	none	f	1	1	2109708	2141837	2141837	5	2897	CM001076.1	2141837	5	108	CM001076.1	2897	5350	0	100	AB096741.1.2904	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus dysgalactiae	1068418	2141837	t	f	f	2109708	2141837	Chromosome	ASM18831v1	na	PRJNA39781	SAMN02428924	2	2109708	none	2011-02-09	GCA_000188315.1	none	full	none	none	none	1	0	Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	none	na	15	none	none	none	none	none	2011/02/09	1	1334	5	ATCC 27957	Cornell University	663952	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus dysgalactiae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;x__Streptococcus dysgalactiae group;s__Streptococcus dysgalactiae;sb__Streptococcus dysgalactiae subsp. dysgalactiae;x__Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	5000	2141837	11	57	none	2136837	0	AEGO00000000.1	2166	1	2141837	5	none	none	none	none	none	none	1545	CM001076.1	1545	2854	0	100	AEGO01000002.56410.57965	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	5000	20	57	0
